Entry	Subcellular location [CC]	Protein names	Gene names	Entry name	Intramembrane	Transmembrane	Topological domain
O34543	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17407181, ECO:0000269|PubMed:17725564}.	Putative ring-cleaving dioxygenase MhqE (EC 1.13.11.-)	mhqE yodE BSU19570	MHQE_BACSU			
P42433		Assimilatory nitrate reductase electron transfer subunit	nasB nasBA BSU03320	NASB_BACSU			
P70955	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Transcriptional regulatory protein NatR	natR yccH BSU02740	NATR_BACSU			
P39784		Positive control factor	xpf pcf ykxE BSU12560	PCF_BACSU			
O32197	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Transcriptional regulatory protein LiaR	liaR yvqC BSU33080	LIAR_BACSU			
O05260	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Na(+)/H(+) antiporter subunit C (Mrp complex subunit C) (Multiple resistance and pH homeostasis protein C)	mrpC yufV BSU31620	MRPC_BACSU		TRANSMEM 4..21;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 28..47;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 67..89;  /note="Helical";  /evidence="ECO:0000255"	
O34777	SUBCELLULAR LOCATION: Cytoplasm.	Organic hydroperoxide resistance transcriptional regulator	ohrR ykmA BSU13150	OHRR_BACSU			
O34819	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.	Pectin lyase (PNL) (EC 4.2.2.10)	pelB BSU18650	PEL1_BACSU			
P80877		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14) (Cobalamin-independent methionine synthase) (Methionine synthase, vitamin-B12 independent isozyme) (Superoxide-inducible protein 9) (SOI9)	metE metC BSU13180	METE_BACSU			
P39763	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16950129}. Note=Membrane-associated. Colocalizes with MreB and Mbl. {ECO:0000269|PubMed:16950129}.	Cell shape-determining protein MreBH (Actin-like MreBH protein) (Rod shape-determining protein MreBH)	mreBH BSU14470	MREBH_BACSU			
Q03523	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00208}.	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)	murE BSU15180	MURE_BACSU			
P37524	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:15210112}.	Nucleoid occlusion protein (Noc)	noc yyaA BSU40990	NOC_BACSU			
Q00829		Phosphatase RapA inhibitor (Phosphatase regulator A)	phrA gsiAB BSU12440	PHRA_BACSU			
O31667		2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase (HK-MTPenyl-1-P phosphatase) (EC 3.1.3.87)	mtnX ykrX BSU13600	MTNX_BACSU			
O32054	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00113}.	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17) (Queuosine biosynthesis protein QueA)	queA BSU27720	QUEA_BACSU			
P17620		Riboflavin biosynthesis protein RibBA [Includes: 3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12); GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)]	ribBA ribA BSU23260	RIBBA_BACSU			
P37552	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (Enamine/imine deaminase)	yabJ BSU00480	RIDA_BACSU			
P42923		50S ribosomal protein L10 (BL5) (Cold acclimatization protein) (CAP) (Vegetative protein 300) (VEG300)	rplJ BSU01040	RL10_BACSU			
P46343	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	PhoH-like protein	phoH yqfE BSU25340	PHOL_BACSU			
O31645	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00427}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00427}.	PTS system mannose-specific EIIBCA component (EIIBCA-Man) (EII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIB component (EC 2.7.1.191) (PTS system mannose-specific EIIB component); Mannose permease IIC component (PTS system mannose-specific EIIC component); Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component)]	manP yjdD BSU12010	PTN3B_BACSU		TRANSMEM 133..153;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 174..194;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 199..219;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 221..241;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 256..276;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 297..317;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 336..356;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 369..389;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 396..416;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"; TRANSMEM 436..456;  /note="Helical";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00427"	
P37551		Pur operon repressor	purR yabI BSU00470	PURR_BACSU			
O34748	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:16385024}. Note=Localized throughout the nucleoid in the presence or absence of DNA double-strand breaks.	Probable ATP-dependent DNA helicase RecQ (EC 3.6.4.12)	recQ yocI BSU19220	RECQ_BACSU			
P96649		Response regulator aspartate phosphatase I (EC 3.1.-.-)	rapI yddL BSU05010	RAPI_BACSU			
P37572		DNA repair protein RadA (EC 3.6.4.-) (Branch migration protein RadA) (DNA repair protein Sms)	radA orf5 sms yacJ BSU00870	RADA_BACSU			
O31986		SPbeta prophage-derived glycosyltransferase SunS (EC 2.4.1.-)	sunS yolJ BSU21450	SUNS_BACSU			
P54603	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22020651}; Single-pass type II membrane protein {ECO:0000305}. Note=Nonuniformly distributed around the cell periphery in the form of patches or short arcs. {ECO:0000269|PubMed:22020651}.	Sortase D (EC 3.4.22.-)	srtD srtA yhcS BSU09200	SRTD_BACSU		TRANSMEM 7..25;  /note="Helical; Note=Membrane anchor";  /evidence="ECO:0000255, ECO:0000305"	
P37477	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS)	lysS BSU00820	SYK_BACSU			
P45694		Transketolase (TK) (EC 2.2.1.1)	tkt tktA BSU17890	TKT_BACSU			
O31620		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase)	thiD yjbV BSU11710	THID_BACSU			
P42199	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.	L-cystine-binding protein TcyA	tcyA yckK BSU03610	TCYA_BACSU			
P21470		30S ribosomal protein S9 (BS10)	rpsI BSU01500	RS9_BACSU			
O34616	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Sporulation-delaying protein SdpB	sdpB yvaX BSU33760	SDPB_BACSU		TRANSMEM 27..49;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 70..92;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 112..134;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 155..177;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 219..241;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 248..270;  /note="Helical";  /evidence="ECO:0000255"	
P96628	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00745}.	Protein SprT-like	ydcK BSU04790	SPRTL_BACSU			
O34734	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10784039}; Multi-pass membrane protein {ECO:0000269|PubMed:10784039}.	Sulfate permease CysP	cysP ylnA BSU15580	SULP_BACSU		TRANSMEM 3..23;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 40..60;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 77..97;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 125..145;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 164..184;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 197..217;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 293..313;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 320..340;  /note="Helical";  /evidence="ECO:0000255"	
P39772	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00534}.	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	asnS BSU22360	SYN_BACSU			
P37807		50S ribosomal protein L28	rpmB yloT BSU15820	RL28_BACSU			
P21472		30S ribosomal protein S12 (BS12)	rpsL fun strA BSU01100	RS12_BACSU			
P21468		30S ribosomal protein S6 (BS9)	rpsF BSU40910	RS6_BACSU			
P40399		Phosphoserine phosphatase RsbU (EC 3.1.3.3) (Sigma factor SigB regulation protein RsbU)	rsbU BSU04700	RSBU_BACSU			
P94464	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P36929}.	Probable ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB sun yloM BSU15740	RSMB_BACSU			
P08065	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P0AC41}; Peripheral membrane protein {ECO:0000250|UniProtKB:P0AC41}; Cytoplasmic side {ECO:0000250|UniProtKB:P0AC41}.	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA citF BSU28440	SDHA_BACSU			
P54951		S-(2-succino)cysteine N-acetyltransferase (2SC N-acetyltransferase) (EC 2.3.1.-) (S-(2-succino)cysteine metabolism operon protein L)	scmL snaB yxeL BSU39510 LP9D	SCML_BACSU			
P40867	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Stage V sporulation protein AB	spoVAB BSU23430	SP5AB_BACSU		TRANSMEM 7..27;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 45..65;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 75..95;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 115..135;  /note="Helical";  /evidence="ECO:0000255"	
P26937	SUBCELLULAR LOCATION: Forespore outer membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Stage IV sporulation protein FB (EC 3.4.24.-)	spoIVFB bofB BSU27970	SP4FB_BACSU		TRANSMEM 11..30;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 32..56;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 84..105;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 127..146;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 162..178;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 180..199;  /note="Helical";  /evidence="ECO:0000255"	TOPO_DOM 1..10;  /note="Mother cell cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 31;  /note="Forespore intermembrane space";  /evidence="ECO:0000305"; TOPO_DOM 57..83;  /note="Mother cell cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 106..126;  /note="Forespore intermembrane space";  /evidence="ECO:0000305"; TOPO_DOM 147..161;  /note="Mother cell cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 179;  /note="Forespore intermembrane space";  /evidence="ECO:0000305"; TOPO_DOM 200..288;  /note="Mother cell cytoplasmic";  /evidence="ECO:0000305"
P19669	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Transaldolase (EC 2.2.1.2) (20 kDa phosphoprotein OrfU) (CSI9)	tal ywjH BSU37110	TAL_BACSU			
P54548		Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	rnz yqjK BSU23840	RNZ_BACSU			
P10726		RNA polymerase sigma-D factor (Sigma-28)	sigD flaB BSU16470	RPSD_BACSU			
P39798	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Protein XhlA	xhlA BSU12790	XHLA_BACSU		TRANSMEM 63..83;  /note="Helical";  /evidence="ECO:0000255"	
P54331		Phage-like element PBSX protein XkdK	xkdK BSU12650	XKDK_BACSU			
P54332		Phage-like element PBSX protein XkdM	xkdM BSU12660	XKDM_BACSU			
Q06754		Uncharacterized PIN and TRAM-domain containing protein YacL (Putative RNase YacL) (EC 3.1.-.-)	yacL BSU00890	YACL_BACSU			
O34688		UPF0753 protein YbcC	ybcC BSU01845 BSU01840	YBCC_BACSU			
O31432	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	Uncharacterized transcriptional regulatory protein YbdJ	ybdJ BSU02000	YBDJ_BACSU			
P42246		Uncharacterized ABC transporter ATP-binding protein YcbN	ycbN BSU02570	YCBN_BACSU			
P71089		Uncharacterized peptidase YgaJ (EC 3.4.21.-)	ygaJ BSU08780	YGAJ_BACSU			
P96641	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized protein YddD	yddD BSU04930	YDDD_BACSU		TRANSMEM 29..51;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 66..83;  /note="Helical";  /evidence="ECO:0000255"	
O06975	SUBCELLULAR LOCATION: Cytoplasm, nucleoid {ECO:0000269|PubMed:24097947}.	Probable cell division protein WhiA	whiA yvcL BSU34750	WHIA_BACSU			
O31453	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized membrane protein YbfM	ybfM BSU02280	YBFM_BACSU		TRANSMEM 7..27;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 51..71;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 134..154;  /note="Helical";  /evidence="ECO:0000255"	
O31433	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Sensor histidine kinase YbdK (EC 2.7.13.3)	ybdK BSU02010	YBDK_BACSU		TRANSMEM 1..21;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 42..62;  /note="Helical";  /evidence="ECO:0000255"	TOPO_DOM 22..41;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 63..320;  /note="Cytoplasmic";  /evidence="ECO:0000255"
Q06753		Putative TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)	yacO BSU00960	YACO_BACSU			
P94387		Uncharacterized HTH-type transcriptional regulator YcgK	ycgK BSU03170	YCGK_BACSU			
C0H3S8		Putative ribosome-binding protein YbzG	ybzG BSU01389	YBZG_BACSU			
O31768		Uncharacterized protein YmfJ	ymfJ BSU16880	YMFJ_BACSU			
P70952	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.	Uncharacterized MFS-type transporter YitZ	yitZ BSU11180	YITZ_BACSU		TRANSMEM 25..45;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 63..83;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 120..140;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 141..161;  /note="Helical";  /evidence="ECO:0000255"	
O31769		Uncharacterized protein YmfK	ymfK BSU16890/BSU16900	YMFK_BACSU			
P96638		Uncharacterized protein YddA	yddA BSU04900	YDDA_BACSU			
O07561		Uncharacterized aromatic compound monooxygenase YhjG (EC 1.14.13.-)	yhjG BSU10500	YHJG_BACSU			
O07568	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized protein YhjN	yhjN BSU10570	YHJN_BACSU		TRANSMEM 11..31;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 33..53;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 66..86;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 94..114;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 153..173;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 197..217;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 224..244;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 284..304;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 309..329;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 342..362;  /note="Helical";  /evidence="ECO:0000255"	
O31586		Uncharacterized protein YgzA	ygzA BSU08770	YGZA_BACSU			
O34303		Type-2 restriction enzyme BsuMI component YdjA (R.BsuM) (R.BsuMI) (EC 3.1.21.4) (Endonuclease BsuMI component YdjA) (Type II restriction enzyme BsuMI component YdjA)	ydjA BSU06110	YDJA_BACSU			
P21471		30S ribosomal protein S10 (BS13)	rpsJ tetA BSU01150	RS10_BACSU			
P21478		30S ribosomal protein S21 (BS-B)	rpsU yqeX BSU25410	RS21_BACSU			
P80886		Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC BSU16090	SUCC_BACSU			
P96499	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000255, ECO:0000305}.	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagV (EC 2.7.8.-)	tagV yvhJ BSU35520	TAGV_BACSU		TRANSMEM 24..44;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"	TOPO_DOM 1..23;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 45..391;  /note="Extracellular";  /evidence="ECO:0000305"
P14951	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00203}.	UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C)	uvrC BSU28490	UVRC_BACSU			
P37574		Uncharacterized protein YacP	yacP BSU00970	YACP_BACSU			
O31451		Uncharacterized protein YbfJ	ybfJ BSU02250	YBFJ_BACSU			
O31447	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized protein YbfG	ybfG BSU02200	YBFG_BACSU		TRANSMEM 687..707;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 712..732;  /note="Helical";  /evidence="ECO:0000255"	
O06733		Uncharacterized protein YisX	yisX BSU10890	YISX_BACSU			
P96591		Putative thiamine pyrophosphate-containing protein YdaP	ydaP BSU04340	YDAP_BACSU			
P96668	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized transporter YdeK	ydeK BSU05230	YDEK_BACSU		TRANSMEM 4..24;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 36..56;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 66..86;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 93..113;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 122..142;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 148..168;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 208..228;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 237..259;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 264..286;  /note="Helical";  /evidence="ECO:0000255"	
O31493	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Putative permease-like protein YdzE	ydzE BSU05140	YDZE_BACSU		TRANSMEM 2..22;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 27..47;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 49..69;  /note="Helical";  /evidence="ECO:0000255"	
O34743		Uncharacterized protein YlbA	ylbA BSU14940	YLBA_BACSU			
O34681		Uncharacterized protein YjgD	yjgD BSU12170	YJGD_BACSU			
P32728		Uncharacterized protein YlxR (ORF3)	ylxR ymxB BSU16610	YLXR_BACSU			
O31800		UPF0457 protein YnzG	ynzG BSU17490	YNZG_BACSU			
O07581	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.	Probable anti-sigma-M factor YhdL	yhdL BSU09510	YHDL_BACSU		TRANSMEM 74..96;  /note="Helical";  /evidence="ECO:0000255"	
P54602	SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000269|PubMed:15292138, ECO:0000269|PubMed:21906378, ECO:0000269|PubMed:22020651}; Peptidoglycan-anchor {ECO:0000255|PROSITE-ProRule:PRU00477}. Note=Anchored to the cell wall by sortase SrtD. {ECO:0000269|PubMed:21906378, ECO:0000269|PubMed:22020651}.	Endonuclease YhcR (EC 3.1.31.-)	yhcR BSU09190	YHCR_BACSU			
O07543	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.	UPF0754 membrane protein YheB	yheB BSU09790	YHEB_BACSU		TRANSMEM 1..21;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 357..377;  /note="Helical";  /evidence="ECO:0000255"	
C0H454		Uncharacterized protein YqzN	yqzN BSU26089	YQZN_BACSU			
O34997	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized membrane protein YkoY	ykoY BSU13440	YKOY_BACSU		TRANSMEM 4..24;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 63..83;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 106..128;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 132..151;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 209..229;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 246..266;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 282..302;  /note="Helical";  /evidence="ECO:0000255"	
O35014		Uncharacterized EAL-domain containing protein YkuI	ykuI BSU14090	YKUI_BACSU			
P42972		Uncharacterized oxidoreductase YcsN (EC 1.-.-.-)	ycsN BSU04150	YCSN_BACSU			
P42402		Uncharacterized protein YckD (ORF4)	yckD BSU03400	YCKD_BACSU			
O31686	SUBCELLULAR LOCATION: Forespore membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Note=Integral membrane protein. Shortly after the initiation of the engulfment, is localized to the sporulation septum. During later stages of sporulation, remains associated with the outer forespore membrane. {ECO:0000269|PubMed:12662922}.	Sporulation protein YkvU	ykvU BSU13830	YKVU_BACSU		TRANSMEM 7..29;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 39..61;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 82..104;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 109..131;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 144..166;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 172..194;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 237..259;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 269..291;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 312..334;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 349..371;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 376..395;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 400..422;  /note="Helical";  /evidence="ECO:0000255"	
P50833		Uncharacterized protein YppE	yppE BSU22270	YPPE_BACSU			
P24812		Uncharacterized protein YqxI (ORF4)	yqxI yqdE BSU25890	YQXI_BACSU			
O07917		Uncharacterized protein YraL	yraL BSU26900	YRAL_BACSU			
O07906		Uncharacterized HTH-type transcriptional regulator YraN	yraN BSU26870	YRAN_BACSU			
O32036		tRNA 5-hydroxyuridine methyltransferase (EC 2.1.1.-) (ho5U methyltransferase)	trmR yrrM BSU27360	TRMR_BACSU			
P39797		Phage-like element PBSX protein XepA (Protein XkdY)	xepA xkdY BSU12780	XEPA_BACSU			
P55192		Uncharacterized protein YbbA	ybbA BSU01600	YBBA_BACSU			
P94382		Uncharacterized protein YcgG	ycgG BSU03100	YCGG_BACSU			
O31441		Uncharacterized protein YbyB	ybyB BSU02110	YBYB_BACSU			
O06750	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized protein YitO	yitO BSU11055 BSU11050/BSU11060	YITO_BACSU		TRANSMEM 28..48;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 73..93;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 113..133;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 157..177;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 220..240;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 259..279;  /note="Helical";  /evidence="ECO:0000255"	
O34968	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|PROSITE-ProRule:PRU00303}; Lipid-anchor {ECO:0000255|PROSITE-ProRule:PRU00303}.	Putative lipoprotein YerB	yerB yecC BSU06570	YERB_BACSU			
O31600	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.	Uncharacterized MFS-type transporter YjbB	yjbB BSU11480	YJBB_BACSU		TRANSMEM 9..29;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 41..61;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 74..94;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 98..118;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 138..158;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 168..190;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 227..247;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 252..272;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 291..311;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 373..393;  /note="Helical";  /evidence="ECO:0000255"	
O34672		Uncharacterized protein YdiM	ydiM BSU06040	YDIM_BACSU			
O06485		Putative sugar dehydratase/epimerase YfnG	yfnG BSU07280	YFNG_BACSU			
